#,jid,username,name,country,1A,1B,1C,2A,2B,2C,total,medal
1,JIDUSERKwwkdzwpdS89e0dcPCsh,djq_fpc,,CHN,100,100,100,100,100,100,600,G
1,JIDUSERkRDHOBrfqyaS6pJICfmG,Comet_Honeymoon,Xu Yun,CHN,100,100,100,100,100,100,600,G
1,JIDUSERimKTT1xt0DnQ3XUv0I1o,errorgorn,Ashley Khoo,SGP,100,100,100,100,100,100,600,G
1,JIDUSERIEV0lhAz3pOp4RxMrZBs,Keshi,Alireza Keshavarz,IRN,100,100,100,100,100,100,600,G
1,JIDUSERCePpKSramopz5HrXoHbv,hehezhou,Hangrui Zhou,,100,100,100,100,100,100,600,G
1,JIDUSERbqfUebQxMRHXwDeHB4iP,AmShZ,Amir Mohammad,IRN,100,100,100,100,100,100,600,G
1,JIDUSERmirIT64SCVSrnJRuOtWU,oleh1421,Oleh Naver,UKR,100,100,100,100,100,100,600,G
1,JIDUSERvIM44rU52lWUO4guRhjr,Clovers,fhdasjkfhkasj,,100,100,100,100,100,100,600,G
1,JIDUSERNDXZNdlMXM3Igkh54exI,fluffyboi,Ralsei,,100,100,100,100,100,100,600,G
1,JIDUSERyV6K5L7t15wkT4b01nxF,gyh20,gyh20,CHN,100,100,100,100,100,100,600,G
1,JIDUSERtY060SxILRxz550xcoLo,yogahmad,Ahmad Haulian Yoga Pratama,IDN,100,100,100,100,100,100,600,G
1,JIDUSERlXT3ARnHrklotTQ9NZys,Wailydest,Roman Yanushevskyi,UKR,100,100,100,100,100,100,600,G
1,JIDUSERXVzH8UQIXBwaF4nobwxP,mayiyang,,CHN,100,100,100,100,100,100,600,G
1,JIDUSERCWLKbT3h1A6BQYVLFz0x,sohsoh84,Soheil,IRN,100,100,100,100,100,100,600,G
1,JIDUSERLVLaNNCgudWAswUOcWY1,dXqwq,Jia Ran,CHN,100,100,100,100,100,100,600,G
1,JIDUSERLrwxzluCBXZBITVBbYBB,zhoukangyang,周康阳,,100,100,100,100,100,100,600,G
1,JIDUSERccSED4V4jXod6cQHMvgi,Koosha_mv,Koosha,IRN,100,100,100,100,100,100,600,G
1,JIDUSERmgP4O30p73QWsal0UARH,SamAnd,Samvel Andreasyan,ARM,100,100,100,100,100,100,600,G
19,JIDUSERDKFrIaOn1y6EiNSBoHG6,wakaka,Wakaka,,100,85,100,100,100,100,585,G
20,JIDUSER9oCEQ1fKKtE0JnOZR29K,FaustaAD,R. Fausta Anugrah Dianparama,IDN,100,100,100,100,100,73,573,G
21,JIDUSERknJD1vyqfyplOcNNN6Z5,TheScrasse,Valerio Stancanelli,ITA,100,65,100,100,100,100,565,G
22,JIDUSERTBpt50raMA71lveBWqCK,OIerwanhong,Hong Wan,CHN,100,49,100,100,100,100,549,G
23,JIDUSERqtMPzhQCipGFyrOGXAgY,andrik1337,Andrii,UKR,48,100,100,100,100,100,548,G
23,JIDUSER5Iki93okj3PId58RKbRQ,AlirezaKaviani,Alireza Kaviani,,48,100,100,100,100,100,548,G
25,JIDUSERfKz1LXHztVSHCpn7PjBf,andrei_boaca,Boaca Andrei,ROU,100,100,100,73,100,60,533,G
26,JIDUSERbFJuGHTdBAC6gq53oeGG,fatemetmhr,Fateme Tamehri,IRN,100,30,100,100,100,100,530,G
26,JIDUSERvG347XYA2Lhkh4omEE70,MoRanSky,Frank Xiang,,100,30,100,100,100,100,530,G
28,JIDUSERZnZp6ncDbxgxgpTpChfL,blue,Paras Kasmalkar,IND,100,56,100,100,61,100,517,G
29,JIDUSERGcHLhisNMiuJN0dVvhTj,hiva,hiva,IRN,100,56,100,100,100,60,516,G
30,JIDUSEReHkKO0DV0KgXdtqAkoXd,Ace,Andreas C.,IDN,100,15,100,100,100,100,515,G
30,JIDUSERxGgler3c8cgp3Vb3I9h2,AriaH,Aria,,100,100,15,100,100,100,515,G
32,JIDUSERpY9noJCJtq4Cxu61JDly,rfpermen,Rico Filberto,IDN,100,36,100,73,100,100,509,G
33,JIDUSERTx7lVbz7LlufSi0T2YYW,antiSocial,Rahim Mammadli,,100,56,100,100,100,49,505,G
34,JIDUSERoJj6APGjOeKK0Ukny9wl,SegmentTree,LQX,,,100,100,100,100,100,500,G
34,JIDUSERei5FlhdhmsPWjmr5Gu2A,insert_cool_handle,John Wick,,,100,100,100,100,100,500,G
36,JIDUSER4yN7MDfqc3Aqp2iNNQ6K,maomao90,Tia Shi Wei,SGP,100,36,100,100,61,100,497,G
37,JIDUSER8pPK5bj6vuSg9FzZacb1,AndrewK,Andrew,IDN,100,36,100,50,100,100,486,G
38,JIDUSERCCrpxKtpTgKdltiaAlSD,AaParsa,Parsa Alizadeh,IRN,100,49,100,100,100,31,480,G
39,JIDUSERUoxCrPk9hp5h1MbFA271,timreizin,Tymofii,UKR,48,61,100,100,100,60,469,G
40,JIDUSER2SPVhmr71oeAnz8etNba,KerakTelor,Richard Alison,IDN,100,50,86,30,100,100,466,G
41,JIDUSERuS9g8ogEYZ7lcEb9k7fB,OwenUltima,Owen Djonatan,IDN,100,46,100,100,61,49,456,G
42,JIDUSERfWuTgr5K3KCEyXwnMcEO,wasa855,Wang Weicheng,CHN,100,0,100,100,100,54,454,G
