#,jid,username,name,country,1A,1B,1C,2A,2B,2C,total,medal
1,JIDUSERTBoPsmm8OZmEr16TbBjY,Yehezkiel,Yehezkiel Raymundo Theodoroes,IDN,100,100,100,100,84,100,584,G
2,JIDUSERoAyCGh5EKkmEWGXQKO96,iafir,Wiwit Rifa'i,IDN,100,100,76,100,86,100,562,G
3,JIDUSERWdsJeQydvxvLcjdod4wg,stevenwjy,Steven Wijaya,IDN,100,100,76,100,77,100,553,G
4,JIDUSERmiqGvAIqT77imrJ4YdPW,AMnu,Abdul Malik Nurrokhman,IDN,100,100,76,100,55,100,531,G
5,JIDUSERyei0fdCIJmAouHnfjZhr,prabowo,Prabowo,IDN,100,100,58,100,63,100,521,G
6,JIDUSERtY060SxILRxz550xcoLo,yogahmad,Ahmad Haulian Yoga Pratama,IDN,100,100,58,100,42,100,500,G
7,JIDUSERS411IaQ6lJhDtefKhFUd,Alpha.S,Muhammad Salman Al-Farisi,IDN,100,100,42,100,52,100,494,G
8,JIDUSER9oCEQ1fKKtE0JnOZR29K,FaustaAD,Fausta AD,IDN,100,56,42,100,82,40,420,G
9,JIDUSER6wPJg4VDUyCgLbNjDWjG,AvaLovelace,Ava Pun,CAN,100,56,,100,90,66,412,G
10,JIDUSERAF4KQzQFL7dtLtKxpKwu,MatheusLealV,Matheus Leal Viana,BRA,100,41,42,100,0,100,383,G
11,JIDUSERtDpxAAX1zVxlSdN7lCzS,Firastic,Adyaksa Wisanggeni,IDN,100,100,58,100,16,8,382,G
12,JIDUSERedqwTQEf9pOTzq7ZO8vy,faxacha,Farhod Farmon,TJK,100,,,100,81,100,381,G
13,JIDUSERiRzFDpHLMh9PAwRFhsym,kyonrevens,Ricky Sentoso,IDN,80,41,42,100,58,55,376,G
14,JIDUSERRhz06Gl6SXmcv6ZUPAyu,rama_bena,putu rama bena putra,IDN,100,90,8,100,58,15,371,G
15,JIDUSERNBVIcFwa3XfjzN9VPTV7,bortoz,Alessandro Bortolin,ITA,100,55,42,34,60,74,365,G
16,JIDUSERgIfwowkd3U6prJRnT6gq,hocky,Hocky Yudhiono,IDN,100,41,42,100,38,30,351,G
17,JIDUSERiEcxOAVJaGwj9r43HyUp,i_type_stuff,,,100,100,,100,30,15,345,G
18,JIDUSERmwcEsRnPtQyf936SUPw0,galang,Galangkangin Gotera,IDN,100,56,,100,69,15,340,G
19,JIDUSERGorv5qj5z89TdGKKhtRG,kadalbonek,Luqman Arifin,IDN,100,,,100,37,100,337,G
20,JIDUSERs1V040j130IYPEgxwT3j,faishol01,Muhammad Faishol Amirul Mukminin,IDN,100,41,0,100,48,30,319,G
21,JIDUSERRcheGWFnarBwDfdjYFa7,Budi145,Budiman Arbenta,IDN,100,56,42,100,20,0,318,G
22,JIDUSERhJlxcAJhn0cztKEwzI9H,ZiyaZa,Ziya,AZE,100,,,100,0,100,300,S
23,JIDUSERpY9noJCJtq4Cxu61JDly,rfpermen,Rico Filberto,IDN,100,20,42,49,20,59,290,S
24,JIDUSERx4FOpgoHLiHClK2d2G8g,alvinpiter,Alvin Piter,IDN,47,41,34,100,0,66,288,S
25,JIDUSERtNnTptkq5WYx2ObZk3cs,Berted,Edbert,IDN,80,20,42,84,25,30,281,S
26,JIDUSERFsREgPqZlq2z6fiKyWOH,zscoder,Zi Song Yeoh,MYS,100,100,76,,,,276,S
27,JIDUSERswrewv0hJOyUkjLMWZUR,Mamnoon_Siam,Mamnoon Siam,BGD,,,,100,54,100,254,S
28,JIDUSER0wxoJXuq01iNbe4KXJmz,dasper,Tony,IDN,65,,,100,50,34,249,S
29,JIDUSER0hn0B9VylUbVYv6ovRm7,Surker23,Steven Kurnia,IDN,100,10,,49,30,59,248,S
30,JIDUSERsLPnRwM1J0K3K2cE504G,Zulfahmi_14,Zulfahmi Ibnu Habibi,IDN,100,41,,65,,40,246,S
31,JIDUSER3Jhvm5QLZQ3VcWMkw0vN,dickynovanto1103,Dicky Novanto,IDN,80,30,,100,16,15,241,S
32,JIDUSER0RcrxMBJaiAZsnYi10xz,Imaxred,Joey Yu,CHN,100,56,76,,,,232,S
33,JIDUSERQNaGtgok8EwrbOd5EyFU,tasmeemreza,Tasmeem Reza,BGD,,,29,100,,100,229,S
34,JIDUSER5uCnyQD0qcCPEuy2B5Qg,malioboro,Rian Adam Rajagede,IDN,57,41,,65,50,7,220,S
35,JIDUSERXOZYXggJhdm2RGTL2egV,akumahappanatuh,muhammad affan,IDN,62,0,42,100,,15,219,S
36,JIDUSERzWKzGK5cOkEXAezq0Xx4,Emil_PhysMath,Emil,ARM,100,,,100,,15,215,S
37,JIDUSERdfmNQRLXNz0FGmhwNC2H,jehian_norman_s,Jehian Norman Saviero,IDN,100,10,,100,,,210,B
38,JIDUSERtgjLPPOIGjWWdUcCpgwD,Fairuzi10,M. Fairuzi Teguh,IDN,100,,,100,,,200,B
38,JIDUSERAvR0HgH3wKUKprpiFuCM,Lungsin,Kwee Lung Sin,IDN,100,100,,,,,200,B
38,JIDUSERfDdPY1mJQuHWzdw00FT4,Kerim.K,Kerim Kochekov,TKM,,,,100,,100,200,B
38,JIDUSERc6iguQFEcEz71UEUJu9J,tayo,Tayo The Little Bus,KOR,100,0,,100,,,200,B
38,JIDUSERs6x9WxCIzJ4JzYKflNjD,toonewbie,Abutalib Namazov,,100,,,,,100,200,B
